id,car_brand,car_model,car_trim,Price_EGP,body_type,powertrain_type,Insurance_Price_EGP,Register_Price_EGP,Engine_CC,Engine_Turbo,Horsepower_HP,Max_Speed_kmh,Acceleration_0_100_sec,Number_transmission_Speeds,Transmission_Type,Fuel_Type,Number_of_Cylinders,Fuel_Tank_L,Torque_Newton_Meter,Length_mm,Width_mm,Height_mm,Ground_Clearance_mm,Wheelbase_mm,Trunk_Size_L,Origin_Country,Assembly_Country,Year,Number_of_Seats,Traction_Type,ABS,EBD,Driver_Airbag,Passenger_Airbag,Rear_Sensors,Air_Conditioning,Power_Steering,Electric_Mirrors,Remote_Keyless,Central_Locking,Cruise_Control,Sunroof,Tinted_Glass,Front_Power_Windows,Back_Power_Windows,Bluetooth,USB_Port,AUX,Alloy_Wheels,Fog_Light,Multifunction,Warranty_km,Warranty_years,Minimum_Installment,Minimum_Deposit,Fuel_Consumption_l_100_km,Side_Airbag,Power_Seats,CD_Player,Closing_Mirrors,Leather_Seats,EPS,Rear_Camera,GPS,Front_Sensors,Intelligent_Parking_System,Rear_Spoiler,Electric_Chairs,Start_Engine,ESP,Steptronic,Panoramic_Sunroof,Touch_Activated_Door_Lock,Heated_Seats,Cool_Box,Rear_Seat_Entertainment,Daytime_Running_Lights,Start_Stop_System,Tyre_Pressure_Sensor,Xenon_Headlights,Front_Camera,Immobilizer_Key,Roof_Rack,Anti_Theft_System,Alarm,Multimedia_Touch_Screen,Off_Road_Tyres,Battery_Capacity_kWh,Battery_Range_km
11,MG,MG-4,MG MG 4 2026 A/T / Luxury,1400000.0,hatchback,Internal_Combustion_Engine,35000,3500,,False,200,,7.9,,automatic_traditional,,,64,250,4287,1836,1504,,2705,350,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,39171,210000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
12,MG,MG-4,MG MG 4 2025 A/T / Luxury,1400000.0,hatchback,Internal_Combustion_Engine,35000,3500,,False,200,,7.9,,automatic_traditional,,,64,250,4287,1836,1504,,2705,350,uk,,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,39171,210000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
13,MG,MG-HS,MG HS 2026 A/T / Luxury,1600000.0,crossover/suv,Internal_Combustion_Engine,40000,16000,1500,True,169,,,7,automatic_dsg,95,4,55,250,4610,1876,1685,,2720,463,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,44767,240000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
14,MG,MG-HS-shape-new-generation,MG HS 2026 A/T / Luxury,1450000.0,crossover/suv,Internal_Combustion_Engine,36250,14500,1500,True,170,,,7,automatic_dsg,95,4,55,275,4670,1890,1663,,2750,507,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,40570,217500,7.6,True,,,,True,True,True,True,,True,True,,True,True,True,True,True,,,True,True,True,True,,True,True,True,True,True,True,,,
15,MG,MG-HS-shape-new-generation,MG HS 2026 A/T /  HEV,1575000.0,crossover/suv,Hybrid,39375,15750,1500,True,221,,6.8,7,automatic_dsg,95,4,55,340,4670,1890,1663,,2750,507,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,44067,236250,5.5,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,True,True,True,True,True,True,,1.8,
16,MG,RX5-Plus,MG RX5 Plus 2026 A/T / Luxury,1380000.0,crossover/suv,Internal_Combustion_Engine,34500,13800,1500,True,171,190,,7,automatic_dsg,,4,55,275,4571,1855,1719,,2708,430,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,38611,207000,,True,,,True,True,True,True,,True,True,True,,True,True,,,True,,,,,,,,,,,True,True,True,,,
17,MG,RX5-Plus,MG RX5 Plus 2025 A/T / Comfort,1500000.0,crossover/suv,Internal_Combustion_Engine,37500,15000,1500,True,171,190,,7,automatic_dsg,,4,55,275,4571,1855,1719,,2708,430,uk,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,41969,225000,,True,,,True,True,True,True,,True,True,True,,True,True,,,True,,,,,,,,,,,True,True,True,,,
18,MG,RX5-Plus,MG RX5 Plus 2025 A/T / Luxury,1550000.0,crossover/suv,Internal_Combustion_Engine,38750,15500,1500,True,171,190,,7,automatic_dsg,,4,55,275,4571,1855,1719,,2708,430,uk,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,150000.0,6.0,43368,232500,,True,,,True,True,True,True,,True,True,True,,True,True,,,True,,,,,,,,,,,True,True,True,,,
19,MG,mg-5,MG 5 2025 A/T / Standard,900000.0,sedan,Internal_Combustion_Engine,22500,9000,1500,False,120,180,12.5,,automatic_cvt,92,4,45,150,4601,1818,1489,168,2680,512,uk,china,2025,5,front traction,True,True,True,True,,True,True,True,True,True,True,,,True,True,True,,True,True,,,150000.0,6.0,25181,135000,5.5,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,True,True,,,,
20,MG,mg-5,MG 5 2026 A/T / Luxury,950000.0,sedan,Internal_Combustion_Engine,23750,9500,1500,False,120,180,12.5,,automatic_cvt,92,4,45,150,4601,1818,1489,168,2680,512,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,150000.0,6.0,26580,142500,5.5,True,True,,True,True,True,True,True,,True,,True,True,True,,,True,,,,,,,,,,,True,True,True,,,
