car_trim,powertrain_type
Kia Sportage 2025 A/T / Highline,Internal_Combustion_Engine
Kia Sportage 2025 A/T / Top Line,Internal_Combustion_Engine
Kia Sportage 2025 A/T /  GT-Line,Internal_Combustion_Engine
Kia Sportage A/T / Top Line 2025,Internal_Combustion_Engine
Kia Sportage A/T / Highline 2025,Internal_Combustion_Engine
Kia Sportage A/T /  GT-Line 2025,Internal_Combustion_Engine
Kia Sportage A/T / EX 2025,Internal_Combustion_Engine
Kia Sportage A/T / LX 2025,Internal_Combustion_Engine
Kia Sorento 2025 A/T / Topline,Internal_Combustion_Engine
Fiat Tipo 2025 manual / Entry‏,Internal_Combustion_Engine
Fiat Tipo 2025 manual / Entry‏ Plus‏,Internal_Combustion_Engine
Fiat Tipo 2025 Manual  / MID,Internal_Combustion_Engine
Fiat Tipo manual / Entry‏ Plus‏ 2025,Internal_Combustion_Engine
Fiat Tipo manual / Entry‏ 2025,Internal_Combustion_Engine
Fiat 500 X 2025 A/T / Cross,Internal_Combustion_Engine
Fiat 500 X A/T / Cross 2025,Internal_Combustion_Engine
Chevrolet Optra 2026 A/T / Ls,Internal_Combustion_Engine
Chevrolet Optra 2026 A/T / Lt,Internal_Combustion_Engine
Chevrolet Optra 2025 A/T / Ls,Internal_Combustion_Engine
Chevrolet Optra 2025 A/T / Lt,Internal_Combustion_Engine
Chevrolet Optra A/T / Lt 2026,Internal_Combustion_Engine
Chevrolet Optra A/T / Ls 2026,Internal_Combustion_Engine
Chevrolet Optra A/T / Lt 2025,Internal_Combustion_Engine
Chevrolet Optra A/T / Ls 2025,Internal_Combustion_Engine
Chevrolet Captiva 2025 A/T / LV3,Internal_Combustion_Engine
Chevrolet Captiva 2025 A/T / LV3 (7seats),Internal_Combustion_Engine
Chevrolet Captiva A/T / LV3 (7seats) 2025,Internal_Combustion_Engine
Chevrolet Captiva A/T / LV3 2025,Internal_Combustion_Engine
Toyota Corolla 2026 Automatic / Active,Internal_Combustion_Engine
Toyota Corolla 2026 AT / Comfort,Internal_Combustion_Engine
Toyota Corolla 2026 A/T / SMART,Internal_Combustion_Engine
Toyota Corolla 2026 A/T / Elegance,Internal_Combustion_Engine
Toyota Corolla 2025 Automatic / Active,Internal_Combustion_Engine
Toyota Corolla 2025 Automatic / Comfort,Internal_Combustion_Engine
Toyota Corolla 2025 Automtic / SMART,Internal_Combustion_Engine
Toyota Corolla 2025 Automatic /  SMART /  Sun Roof,Internal_Combustion_Engine
Toyota Corolla 2025 A/T / Elegance,Internal_Combustion_Engine
Toyota Corolla A/T / Elegance 2025,Internal_Combustion_Engine
Toyota Corolla Automatic /  SMART /  Sun Roof 2025,Internal_Combustion_Engine
Toyota Corolla Automtic / SMART 2025,Internal_Combustion_Engine
Toyota Corolla Automatic / Comfort 2025,Internal_Combustion_Engine
Toyota Corolla Automatic / Active 2025,Internal_Combustion_Engine
Toyota Urban Cruiser 2025 A/T / Active,Internal_Combustion_Engine
Toyota Urban Cruiser 2025 A/T / Comfort,Internal_Combustion_Engine
Toyota Fortuner 2025 A/T / SMART,Internal_Combustion_Engine
Toyota Fortuner 2025 Automtic / ELEGANCE,Internal_Combustion_Engine
Toyota Fortuner 2025 A/T / Sport,Internal_Combustion_Engine
Toyota Fortuner Automtic / ELEGANCE,Internal_Combustion_Engine
Toyota Fortuner A/T / Sport 2025,Internal_Combustion_Engine
Toyota Fortuner Automtic / ELEGANCE 2025,Internal_Combustion_Engine
Toyota Fortuner A/T / SMART 2025,Internal_Combustion_Engine
Nissan Sunny 2026 Manual‏ / Baseline,Internal_Combustion_Engine
Nissan Sunny 2026 A/T / Baseline,Internal_Combustion_Engine
Nissan Sunny 2026 A/T / plus,Internal_Combustion_Engine
Nissan Sunny 2026 A/T / Super Saloon,Internal_Combustion_Engine
Nissan Sunny 2025 Automatic / Baseline,Internal_Combustion_Engine
Nissan Sunny 2025 A/T / plus,Internal_Combustion_Engine
Nissan Sunny 2025 A/T / Super Saloon,Internal_Combustion_Engine
Nissan Sunny A/T / Super Saloon 2026,Internal_Combustion_Engine
Nissan Sunny A/T / plus 2026,Internal_Combustion_Engine
Nissan Sunny A/T / Baseline 2026,Internal_Combustion_Engine
Nissan Sunny Automatic / Baseline 2025,Internal_Combustion_Engine
Nissan Sunny A/T / Super Saloon 2025,Internal_Combustion_Engine
Nissan Sunny A/T / plus 2025,Internal_Combustion_Engine
Nissan Sentra 2026 A/T / Highline,Internal_Combustion_Engine
Nissan Sentra 2025 A/T / Highline,Internal_Combustion_Engine
Nissan Sentra 2025 A/T / Premium,Internal_Combustion_Engine
Nissan Sentra A/T / Highline 2026,Internal_Combustion_Engine
Nissan Sentra A/T / Premium 2025,Internal_Combustion_Engine
Nissan Sentra A/T / Highline 2025,Internal_Combustion_Engine
Nissan Juke 2025 A/T / Accenta,Internal_Combustion_Engine
Nissan Juke 2025 A/T / Tekna,Internal_Combustion_Engine
Nissan Juke 2025 A/T / Tekna Perso,Internal_Combustion_Engine
Nissan Juke 2025 AT / N-Design,Internal_Combustion_Engine
Nissan Juke A/T / Tekna,Internal_Combustion_Engine
Nissan Juke A/T / Tekna Perso 2025,Internal_Combustion_Engine
Nissan Juke A/T / Tekna 2025,Internal_Combustion_Engine
Nissan Juke A/T / Accenta 2025,Internal_Combustion_Engine
Nissan Juke 2025 AT / ACCENTA,Internal_Combustion_Engine
Nissan Juke 2025 AT / Tekna,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / ACCENTA,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / ACCENTA  2T,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / TEKNA,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / TEKNA  2T,Internal_Combustion_Engine
Nissan Qashqai AT / TEKNA  2T,Internal_Combustion_Engine
Nissan Qashqai AT / TEKNA  2T 2025,Internal_Combustion_Engine
Nissan Qashqai AT / TEKNA 2025,Internal_Combustion_Engine
Nissan Qashqai AT / ACCENTA  2T 2025,Internal_Combustion_Engine
Nissan Qashqai AT / ACCENTA 2025,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / N-Connecta,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / N-Connecta +,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / TEKNA,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / N-Design e-PWR,Internal_Combustion_Engine
Nissan Qashqai 2025 AT / TEKNA 4WD,Internal_Combustion_Engine
Nissan XTrail 2026 A/T / Acenta 2WD,Internal_Combustion_Engine
Nissan XTrail 2026 A/T / N-Terk,Internal_Combustion_Engine
Nissan XTrail 2026 A/T / E-4orce Tekna,Internal_Combustion_Engine
Nissan Patrol 2025 A/T / XE,Internal_Combustion_Engine
Nissan Patrol 2025 A/T / SE T2,Internal_Combustion_Engine
Nissan Patrol 2025 A/T / SE Titanium,Internal_Combustion_Engine
Nissan Patrol 2025 A/T / LE T1,Internal_Combustion_Engine
Nissan Patrol 2025 A/T / SE PLT City,Internal_Combustion_Engine
